Employee_ID,Age,Experience_Years,Training_Score,Weekly_Work_Hours,Performance_Score
1046,39.3,8.6,76.8,48.1,65.33
1047,48.1,10.1,66.4,48.4,71.09
1048,30.1,10.4,66.7,49.5,67.93
1049,50.4,4.6,80.9,38.7,60.39
1050,53.9,3.3,61.8,38.4,52.69
1051,44.7,7.9,69.7,47.7,70.84
1052,40.0,3.3,75.6,40.1,58.13
1053,31.0,7.3,73.3,34.0,59.17
1054,41.0,4.3,79.4,39.9,60.46
1055,32.3,6.4,58.3,46.5,54.75
1056,34.9,6.1,72.1,39.9,57.36
1057,33.3,9.3,74.4,45.4,66.04
1058,36.7,6.4,74.7,43.3,58.87
1059,42.7,5.1,76.6,36.0,59.3
1060,31.7,8.1,62.7,44.0,63.05
1061,29.1,15.4,83.6,42.0,77.01
1062,29.0,9.2,75.6,39.5,60.98
1063,29.2,3.1,76.5,35.6,49.9
1064,26.4,8.2,67.4,49.2,67.73
1065,29.5,14.4,73.4,37.9,68.59
1066,42.8,8.4,82.6,32.8,60.0
1067,31.4,11.2,71.9,45.7,64.03
1068,36.5,10.8,73.6,40.0,65.23
1069,27.7,11.0,74.5,47.3,72.9
1070,36.0,10.6,58.9,41.5,65.54
1071,24.6,8.7,70.6,41.9,63.09
1072,30.8,7.5,77.5,44.6,61.73
1073,48.5,7.3,68.1,42.5,64.53
1074,31.5,8.3,71.7,42.5,61.79
1075,41.7,9.1,71.7,46.8,68.95
1076,37.7,4.8,59.4,37.9,57.87
1077,34.1,7.3,78.4,44.5,63.74
1078,31.1,7.9,61.2,43.3,54.29
1079,42.7,8.3,75.4,34.8,67.63
1080,33.9,7.2,70.9,47.0,62.27
1081,44.2,10.0,69.3,45.4,66.95
1082,30.7,7.7,72.5,48.9,59.57
1083,35.3,7.1,78.0,40.0,64.39
1084,37.8,4.9,78.5,37.1,61.04
1085,37.2,6.1,68.6,55.8,65.43
1086,27.6,8.6,70.7,37.4,62.97
1087,31.0,8.3,65.1,38.4,57.03
1088,33.8,2.9,60.3,44.5,55.12
1089,29.9,10.3,79.6,40.1,69.43
1090,39.1,6.2,63.2,43.9,63.19
1091,38.5,5.7,66.1,36.0,49.46
1092,23.3,10.8,75.0,34.4,58.99
1093,24.2,10.9,61.2,39.5,63.18
1094,27.3,6.2,75.8,45.0,62.17
1095,35.7,7.1,65.3,41.9,55.93
1096,47.2,4.9,62.9,47.4,58.81
1097,32.7,10.0,67.4,40.8,65.91
1098,36.5,10.3,65.2,42.8,67.73
1099,28.6,6.9,73.9,37.9,59.33
1100,28.7,11.5,83.3,35.4,68.36
1101,23.3,10.3,77.4,36.5,65.2
1102,34.8,7.7,75.7,38.4,61.47
1103,40.7,9.8,67.1,50.8,74.16
1104,32.9,3.9,70.1,36.2,51.01
1105,43.4,7.3,72.7,38.0,61.08
1106,36.2,8.6,71.4,48.2,65.59
1107,34.8,8.0,73.0,39.0,66.07
1108,38.1,13.1,62.2,44.6,67.21
1109,37.9,8.8,85.9,31.8,67.08
1110,41.9,8.9,61.0,37.6,58.91
1111,30.2,4.7,70.5,44.3,55.58
1112,21.3,7.5,78.3,34.4,52.1
1113,35.7,6.0,65.7,42.8,57.3
1114,31.3,13.9,80.1,42.1,79.22
1115,34.8,7.0,60.4,39.5,53.52
1116,45.0,8.3,65.7,40.8,52.87
1117,28.4,11.0,52.8,45.2,61.82
1118,39.6,9.6,79.9,41.8,64.72
1119,40.7,4.5,62.0,46.4,50.77
1120,37.8,9.6,66.0,45.5,63.24
1121,41.7,9.8,77.7,48.9,67.31
1122,32.2,7.5,74.3,40.1,64.21
1123,30.9,9.2,80.1,42.7,67.4
1124,41.2,8.3,76.7,37.2,65.05
1125,39.3,4.5,78.7,44.8,59.04
1126,43.3,6.6,67.7,38.8,58.03
1127,36.3,8.1,70.8,44.8,61.78
1128,44.7,6.5,77.4,40.7,63.39
1129,33.3,9.3,77.5,41.2,58.89
1130,28.6,10.5,79.1,43.0,68.05
1131,22.8,8.7,65.4,38.6,60.71
1132,28.4,7.1,62.7,39.0,60.23
1133,39.9,11.4,61.5,39.2,65.89
1134,26.2,8.3,67.7,39.5,59.12
1135,32.3,8.9,70.7,44.8,58.88
1136,47.6,6.1,62.0,40.2,57.14
1137,40.1,7.5,70.0,39.4,54.35
1138,45.7,10.5,76.5,45.6,68.25
1139,29.1,9.9,79.4,45.1,67.65
1140,20.2,7.5,66.8,41.2,56.11
1141,44.1,8.0,76.0,53.0,72.5
1142,26.5,8.5,61.3,37.2,54.9
1143,35.5,5.6,66.2,49.2,55.79
1144,36.3,7.5,72.3,43.1,60.66
1145,29.3,6.7,66.3,46.4,56.89
1146,44.3,4.5,65.3,40.6,58.19
1147,44.3,8.4,73.6,47.2,62.64
1148,38.3,7.6,63.6,37.5,55.53
1149,34.8,4.3,72.4,45.5,60.62
1150,36.1,6.0,70.6,43.1,56.51
1151,28.4,7.8,75.6,46.0,65.01
1152,33.6,0.8,77.5,39.8,51.4
1153,34.4,8.5,72.5,43.8,62.78
1154,29.9,8.7,67.5,38.4,54.0
1155,40.1,9.6,79.5,40.3,67.39
1156,26.4,6.5,73.0,40.8,56.67
1157,32.3,4.4,64.4,39.2,52.87
1158,21.5,9.6,72.9,39.7,57.56
1159,38.0,4.6,66.6,36.4,54.29
1160,39.5,9.4,51.3,41.4,59.49
1161,38.7,6.3,63.8,48.5,64.22
1162,52.5,5.5,68.4,54.7,63.75
1163,40.6,8.7,67.8,38.2,58.81
1164,29.3,10.8,59.2,38.5,62.4
1165,51.0,7.6,68.7,43.4,60.21
1166,29.5,7.4,74.9,44.2,59.77
1167,39.7,3.8,62.3,36.1,49.13
1168,39.5,10.1,73.5,31.6,58.6
1169,29.7,8.2,55.3,43.1,60.62
1170,43.4,7.3,75.5,48.0,69.07
1171,37.1,11.3,66.9,48.3,62.25
1172,38.4,4.1,60.7,41.9,45.97
1173,30.9,6.7,80.3,48.2,63.19
1174,42.8,8.0,75.2,41.2,65.57
1175,29.8,7.3,79.0,35.7,61.9
1176,24.3,1.9,73.9,41.4,55.4
1177,43.6,8.9,74.2,46.6,68.57
1178,32.4,7.9,68.4,42.5,57.35
1179,35.3,10.5,74.8,39.4,67.26
1180,46.5,13.1,70.8,42.2,68.22
1181,41.8,7.5,66.3,43.5,58.53
1182,38.8,9.0,69.9,42.6,59.03
1183,41.4,8.6,61.2,43.3,58.16
1184,30.6,8.4,71.2,43.7,60.74
1185,39.5,7.7,74.9,46.8,63.79
1186,41.7,9.0,72.4,42.6,70.47
1187,39.5,10.8,76.0,41.3,68.68
1188,33.8,5.9,68.9,43.6,59.29
1189,12.5,12.8,71.7,44.6,67.99
1190,38.3,9.3,71.6,34.1,65.78
1191,35.7,8.8,86.8,47.1,68.16
1192,32.8,2.4,61.1,49.6,54.72
1193,39.7,8.0,87.5,42.1,65.76
1194,36.6,5.6,65.6,44.7,57.11
1195,36.2,9.4,68.8,38.7,63.45
1196,26.1,10.4,73.6,45.0,62.51
1197,26.2,10.9,76.0,38.2,64.0
1198,37.2,7.6,71.2,42.8,61.94
1199,35.5,7.8,73.2,44.6,65.01
1200,35.8,9.1,82.5,38.4,65.41
1201,36.0,2.8,92.1,37.0,67.23
1202,37.5,6.9,74.7,40.4,66.64
1203,35.2,6.6,77.0,39.4,53.91
1204,35.9,9.3,70.7,40.5,63.59
1205,36.5,6.9,84.6,37.0,64.44
1206,40.6,9.9,70.6,46.8,68.73
1207,31.9,7.5,75.5,40.8,65.74
1208,39.7,10.1,63.2,44.0,55.45
1209,38.8,13.5,50.4,34.7,57.45
1210,35.6,11.9,89.5,39.3,78.02
1211,32.1,10.4,79.9,49.1,75.16
1212,37.2,10.9,78.8,38.0,74.56
1213,40.2,7.1,64.1,43.3,64.27
1214,28.6,6.1,58.6,51.4,53.84
1215,35.4,5.9,69.6,42.0,61.11
1216,35.4,8.5,72.4,48.7,65.32
1217,31.0,11.7,77.2,37.9,68.07
1218,31.3,6.2,71.6,39.8,57.75
1219,25.7,9.2,81.6,41.7,64.5
1220,28.4,4.9,74.3,39.5,54.37
1221,25.8,5.0,74.0,43.5,59.67
1222,31.3,10.1,80.7,34.0,62.77
1223,31.6,6.3,66.2,37.2,55.38
1224,31.8,6.2,74.6,47.8,63.77
1225,37.2,12.9,67.1,42.5,67.23
1226,33.9,8.2,66.2,44.2,60.41
1227,30.6,7.9,83.5,49.5,72.18
1228,30.7,7.4,80.2,34.1,54.76
1229,28.2,9.0,75.8,28.5,55.97
1230,33.8,6.2,81.9,49.9,62.09
1231,33.7,8.1,74.5,35.8,60.85
1232,44.7,10.7,82.2,42.3,79.74
1233,44.2,7.2,64.8,34.6,52.71
1234,43.9,2.1,70.4,30.4,51.95
1235,47.5,6.4,74.6,41.6,66.46
1236,27.7,9.9,63.6,44.0,55.64
1237,39.0,10.8,66.2,38.2,59.46
1238,39.6,8.9,61.7,30.5,55.44
1239,37.9,11.6,76.9,43.3,67.68
1240,47.8,5.4,67.9,50.4,63.09
1241,50.2,11.2,73.7,34.1,70.69
1242,40.9,8.5,75.7,45.3,68.73
1243,38.9,9.7,70.3,43.1,64.76
1244,28.3,0.8,71.8,33.6,47.48
1245,28.3,10.2,72.7,46.4,67.95
1246,39.2,8.6,74.9,42.7,61.27
1247,34.5,12.8,82.2,41.2,71.16
1248,27.0,8.5,62.9,47.6,62.49
1249,34.3,5.6,72.3,42.0,58.1
1250,37.2,6.0,62.1,47.6,59.3
1251,40.6,9.0,83.0,53.7,76.38
1252,34.4,8.8,57.1,42.9,51.27
1253,33.4,6.4,72.9,43.9,64.97
1254,35.0,5.3,68.3,39.4,49.64
1255,36.0,11.8,67.1,48.8,69.76
1256,28.0,7.4,77.2,36.4,59.9
1257,40.0,7.8,75.8,39.7,62.44
1258,48.1,6.7,64.0,41.7,59.66
1259,39.9,11.5,75.2,41.2,67.56
1260,26.3,10.8,73.8,38.8,62.32
1261,35.6,5.4,65.7,45.9,57.31
1262,24.4,7.8,60.1,40.6,55.96
1263,24.0,5.7,77.8,32.3,52.41
1264,39.0,12.6,77.0,47.2,75.15
1265,35.5,9.1,75.6,49.8,66.15
1266,30.9,7.3,67.4,39.5,55.9
1267,22.5,7.2,81.1,48.1,64.18
1268,27.4,9.4,98.7,39.6,72.83
1269,36.0,7.4,72.8,37.5,58.64
1270,35.2,11.9,75.7,37.9,69.02
1271,39.1,5.7,65.1,49.4,64.81
1272,44.1,4.9,65.1,48.2,57.47
1273,33.0,11.5,85.4,45.1,77.41
1274,37.8,6.9,89.4,37.4,60.83
1275,34.2,11.5,69.5,45.6,70.28
1276,32.0,10.2,66.3,37.1,60.4
1277,33.5,4.6,64.2,44.8,61.3
1278,40.8,6.5,66.6,39.5,56.04
1279,28.8,8.1,71.9,39.4,57.64
1280,41.8,7.4,61.6,39.6,60.61
1281,43.9,8.8,65.8,32.7,59.6
1282,35.2,6.5,78.9,34.1,58.82
1283,36.5,7.8,70.1,41.3,53.78
1284,26.5,10.5,65.2,37.2,61.47
1285,49.2,11.3,62.1,45.7,67.39
1286,40.9,6.0,79.8,47.3,65.15
1287,36.0,7.4,63.0,35.0,52.64
1288,35.3,7.7,70.2,35.2,61.88
1289,37.7,4.6,79.3,41.2,59.2
1290,31.1,10.3,75.6,50.7,69.61
1291,36.7,9.4,73.6,38.4,58.84
1292,29.5,9.3,73.7,44.2,64.32
1293,38.0,7.7,63.8,34.5,52.51
1294,30.9,10.2,65.6,37.9,64.99
1295,40.4,10.4,67.6,44.1,66.86
1296,34.3,10.9,48.5,40.8,56.01
1297,36.6,7.6,68.0,44.2,60.7
1298,52.8,8.9,70.5,42.5,70.22
1299,39.8,7.0,70.7,41.9,61.09
1300,36.6,7.2,70.4,41.8,60.32
1301,35.3,10.5,73.0,48.1,74.76
1302,28.8,8.1,73.5,41.6,62.74
1303,41.5,7.6,84.3,45.8,71.12
1304,44.6,9.5,72.6,40.7,64.46
1305,35.4,9.7,78.1,42.3,65.96
1306,45.1,6.1,66.6,37.0,58.92
1307,34.3,6.4,74.0,32.4,55.62
1308,24.4,9.8,73.7,40.0,64.11
1309,31.1,9.3,69.6,42.3,62.65
1310,28.7,7.5,57.8,39.7,54.3
1311,33.4,11.0,60.7,44.3,63.29
1312,38.8,7.8,75.0,38.2,57.7
1313,29.4,3.2,71.0,35.6,54.21
1314,34.5,6.0,69.5,35.2,53.04
1315,36.2,4.3,66.0,44.8,51.88
1316,30.6,10.9,72.2,38.1,64.59
1317,29.5,9.3,76.0,41.8,62.65
1318,35.5,8.3,86.3,35.4,68.42
1319,40.2,2.2,71.4,37.9,53.42
1320,31.4,4.3,70.1,41.6,52.98
1321,30.5,7.6,73.7,46.6,60.75
1322,34.2,3.5,80.8,36.9,57.45
1323,36.7,10.4,89.9,35.2,67.26
1324,31.7,7.7,76.0,41.6,58.18
1325,33.0,7.6,60.1,42.4,52.14
1326,33.6,7.8,71.8,39.7,62.53
1327,28.5,5.6,62.6,47.1,51.56
1328,33.9,5.4,63.9,33.9,47.7
1329,31.6,3.3,86.1,37.9,59.18
1330,44.5,8.1,68.9,41.7,64.82
1331,31.9,9.0,65.9,37.7,55.6
1332,37.7,7.4,82.6,43.2,63.9
1333,37.3,7.3,72.3,41.7,64.16
1334,28.3,5.6,62.7,40.5,53.9
1335,27.5,8.6,72.2,52.5,65.28
1336,32.3,1.9,60.6,37.2,46.08
1337,39.0,5.2,64.9,40.5,56.25
1338,31.6,6.4,73.2,43.8,56.9
1339,31.1,6.7,51.4,38.3,47.45
1340,17.6,8.5,77.5,42.2,65.59
1341,32.6,7.5,73.8,45.5,68.35
1342,36.9,8.4,78.5,42.6,68.23
1343,37.7,11.1,68.7,45.0,67.04
1344,37.6,11.4,75.2,39.9,66.01
1345,33.0,9.6,63.9,40.5,60.97
1346,33.6,11.1,64.4,50.3,71.03
1347,40.0,12.3,72.6,43.8,74.48
1348,34.2,8.9,72.0,46.0,65.14
1349,21.2,4.5,71.8,38.7,54.03
1350,41.1,10.5,82.6,40.7,65.76
1351,28.5,5.5,69.6,46.9,58.04
1352,43.3,12.7,75.4,42.1,76.44
1353,45.2,12.3,74.6,36.1,68.3
1354,39.6,6.7,73.1,37.6,60.44
1355,40.4,5.3,75.1,41.4,62.05
1356,46.1,6.3,58.0,48.7,61.57
1357,28.4,7.8,67.4,44.1,60.38
1358,36.5,11.2,80.7,38.2,67.05
1359,36.4,4.9,69.5,41.6,49.77
1360,29.2,10.2,77.4,42.0,63.12
1361,47.1,2.8,75.6,34.1,52.33
1362,31.5,11.0,47.5,41.5,59.68
1363,30.6,7.8,61.4,40.1,57.12
1364,36.6,8.5,66.5,41.0,64.15
1365,41.2,7.7,66.4,37.7,54.96
1366,31.4,10.3,68.3,43.4,59.2
1367,31.4,8.9,68.4,39.8,62.51
1368,38.0,12.2,65.3,38.2,70.51
1369,26.4,3.6,66.5,50.0,55.99
1370,30.4,5.7,56.2,40.0,49.62
1371,30.0,4.6,87.3,35.6,61.0
1372,32.4,9.8,82.9,47.2,74.92
1373,34.1,3.8,78.8,48.1,56.69
1374,46.1,14.1,71.1,37.4,70.07
1375,40.4,8.2,64.5,39.7,62.55
1376,35.1,11.1,91.3,40.9,74.03
1377,33.7,5.6,64.3,39.9,52.0
1378,40.2,8.5,83.2,35.5,63.75
1379,37.6,9.6,74.3,36.8,60.83
1380,40.3,6.2,64.5,51.3,57.17
1381,43.3,7.4,65.3,38.9,59.55
1382,29.0,11.9,68.4,39.3,61.05
1383,21.5,11.2,66.8,45.1,64.37
1384,34.9,9.4,60.5,39.5,56.33
1385,35.5,12.9,75.2,38.6,70.85
1386,36.7,3.1,64.4,36.9,48.43
1387,31.4,8.7,77.9,44.0,64.81
1388,33.6,7.0,70.3,42.6,55.28
1389,38.4,11.6,72.9,46.7,71.42
1390,38.7,10.8,72.7,39.7,64.95
1391,43.0,10.9,68.7,47.5,66.78
1392,22.0,6.5,71.0,42.3,58.69
1393,25.1,9.4,73.2,39.3,64.66
1394,43.8,10.7,90.2,43.7,79.8
1395,38.6,11.2,61.5,43.2,65.09
1396,39.8,5.7,66.1,42.9,58.06
1397,33.3,6.3,68.7,38.3,53.4
1398,32.2,8.6,61.7,41.2,56.56
1399,36.2,11.5,61.1,40.8,66.9
1400,29.4,9.6,59.3,44.9,59.25
1401,25.8,11.4,71.2,47.4,73.64
1402,28.3,3.1,67.3,45.4,49.38
1403,35.7,7.3,72.9,45.0,62.23
1404,38.8,9.2,60.2,46.6,61.92
1405,44.9,8.7,64.4,47.2,62.35
1406,37.2,3.3,78.9,39.9,55.44
1407,37.8,10.8,77.6,36.4,65.85
1408,45.1,8.9,59.1,42.4,61.21
1409,30.3,6.8,78.1,48.5,64.26
1410,29.2,11.0,67.1,36.0,64.71
1411,31.8,3.7,62.6,37.4,56.83
1412,34.4,6.7,77.3,41.9,63.97
1413,47.1,10.2,78.7,39.2,69.72
1414,32.9,8.9,51.5,46.1,54.95
1415,42.8,7.4,78.4,42.0,62.94
1416,32.2,7.6,67.4,45.5,55.95
1417,37.9,7.4,67.2,43.0,61.82
1418,39.1,10.2,68.4,43.5,61.25
1419,38.2,7.2,79.9,36.4,63.62
1420,39.5,9.7,81.4,38.8,65.12
1421,30.9,2.8,73.9,32.8,50.8
1422,43.7,11.1,77.4,38.2,70.15
1423,40.9,14.1,88.2,39.2,71.55
1424,30.8,9.2,71.0,43.2,61.24
1425,38.0,7.8,63.0,36.5,57.73
1426,28.6,6.7,75.3,49.7,65.16
1427,35.6,9.7,76.7,47.2,71.34
1428,28.0,6.4,69.9,37.1,54.57
1429,39.3,6.0,69.6,33.4,54.61
1430,52.8,2.7,88.3,34.5,64.02
1431,43.8,8.6,69.1,43.1,64.51
1432,39.4,7.3,64.0,36.1,58.7
1433,29.6,7.4,49.7,40.4,51.07
1434,37.3,8.0,77.7,44.2,60.97
1435,42.1,6.2,81.4,43.5,65.7
1436,34.5,8.5,61.8,45.0,62.29
1437,35.8,5.3,75.9,35.9,59.4
1438,24.8,7.7,68.5,44.7,57.43
1439,29.9,7.3,71.8,44.8,59.34
1440,23.9,3.7,66.5,46.0,47.0
1441,46.5,5.0,71.2,45.4,62.01
1442,37.8,6.5,78.2,36.0,62.08
1443,39.3,6.6,67.2,30.7,51.77
1444,33.8,8.6,65.9,43.4,60.1
1445,26.2,7.0,63.2,48.9,58.61
1446,36.1,7.9,80.3,38.3,68.17
1447,31.2,7.0,64.6,38.2,58.4
1448,29.2,1.5,76.3,42.5,56.03
1449,35.3,7.7,61.4,46.6,59.63
1450,35.7,5.9,54.3,45.0,52.72
1451,33.9,7.6,66.8,36.4,60.31
1452,30.4,6.1,73.2,39.8,52.88
1453,29.1,9.6,80.0,39.2,66.9
1454,35.0,7.9,77.7,44.3,61.12
1455,42.3,9.8,73.9,45.1,70.54
1456,25.4,10.0,51.4,37.8,56.33
1457,31.1,6.6,75.2,38.1,56.02
1458,34.0,10.0,59.5,43.0,61.93
1459,34.0,8.6,65.8,40.8,56.85
1460,31.4,5.4,85.6,38.3,57.4
1461,46.6,7.7,79.3,39.7,63.74
1462,37.4,8.2,62.7,44.5,58.41
1463,29.1,11.2,68.6,40.2,67.34
1464,23.7,7.1,77.6,41.2,66.87
1465,34.0,11.9,70.2,38.3,65.95
1466,43.9,9.9,69.7,44.4,66.78
1467,36.2,2.7,62.4,39.4,51.54
1468,21.1,5.4,75.7,42.9,56.63
1469,26.7,9.5,76.7,42.5,66.51
1470,35.7,4.4,65.0,40.0,47.48
1471,41.4,9.2,55.2,38.0,55.24
1472,35.8,11.5,85.8,41.4,67.77
1473,35.9,7.3,65.8,40.4,52.51
1474,41.4,11.5,74.8,46.3,74.44
1475,42.5,11.3,64.6,38.0,63.22
1476,30.9,7.9,65.5,45.2,65.21
1477,37.6,7.9,79.1,47.2,71.68
1478,29.3,8.5,68.9,44.7,61.99
1479,28.5,9.1,77.6,45.1,65.0
1480,38.5,4.1,77.8,40.7,55.57
1481,26.5,7.6,67.4,43.8,52.07
1482,36.0,3.8,73.8,43.9,55.42
1483,36.9,7.1,77.7,34.6,58.79
1484,40.2,7.5,81.4,40.4,62.63
1485,28.1,3.5,69.4,36.4,47.52
1486,37.3,4.8,71.6,33.5,53.1
1487,34.2,7.0,64.0,41.8,56.38
1488,43.9,13.4,77.8,43.9,75.37
1489,30.5,4.5,72.3,38.9,51.57
1490,28.3,8.3,60.9,44.2,64.32
1491,38.0,5.8,68.8,44.5,60.65
1492,29.9,7.1,70.6,42.3,59.05
1493,27.2,10.5,66.9,39.7,59.75
1494,40.5,8.8,65.8,45.0,60.47
1495,37.6,9.1,58.5,49.9,65.43
1496,16.3,9.2,72.4,32.7,55.93
1497,29.5,9.4,68.2,45.2,63.76
1498,28.4,2.6,78.9,36.8,53.77
1499,38.9,9.0,70.8,45.8,63.93
1500,43.8,7.8,78.3,46.4,68.04
