Customer_ID,Age,Annual_Income,Website_Minutes,Previous_Purchases,Purchase_Amount
123,34,54062.84,6.79,1,219.78
124,53,33162.79,9.51,4,939.92
125,43,60422.99,113.39,4,2239.59
126,36,34773.16,28.54,3,991.48
127,55,37182.7,17.89,4,1631.15
128,20,98661.83,42.96,6,3059.31
129,25,26309.3,4.4,4,973.8
130,22,18000.0,36.05,3,794.64
131,27,113098.61,32.07,3,2965.45
132,19,189497.36,11.97,4,3933.78
133,40,37313.18,10.0,4,900.25
134,29,18000.0,20.11,6,534.17
135,18,39309.98,33.94,4,1247.7
136,21,39838.03,37.33,4,1701.21
137,35,42004.91,51.73,2,2160.85
138,43,25276.66,6.43,3,854.74
139,67,64135.84,8.09,5,1497.26
140,70,62222.94,31.74,2,1163.33
141,37,20497.88,6.44,3,940.41
142,22,68497.89,2.2,4,1071.83
143,18,144202.92,7.24,7,3612.58
144,35,51255.5,9.97,4,1723.58
145,23,38733.93,10.03,5,1475.12
146,27,43126.73,26.76,5,1450.07
147,25,65407.44,24.33,5,2107.51
148,30,18000.06,15.04,3,826.65
149,47,51042.55,30.59,6,1535.82
150,33,37618.26,16.77,2,1670.52
151,30,128837.06,25.04,2,2603.78
152,21,42370.39,71.2,6,2228.17
153,18,116697.24,33.12,5,2052.46
154,26,25411.13,8.91,3,1300.98
155,31,64407.96,5.78,4,2156.72
156,62,55585.08,64.56,2,1715.19
157,33,28912.35,25.75,3,1239.12
158,46,51408.97,41.29,5,1980.51
159,26,90842.76,21.14,5,2118.77
160,20,39023.31,21.2,1,1162.92
161,22,18387.39,160.53,3,1581.94
162,24,46181.77,56.6,3,1372.7
163,70,28386.45,3.45,2,1151.29
164,23,38627.22,6.16,6,1742.64
165,43,44583.84,11.85,3,974.13
166,22,18249.47,11.36,5,706.92
167,45,19175.48,6.32,3,496.62
168,36,60787.34,26.38,4,1988.41
169,30,34979.05,14.22,4,826.29
170,31,18000.0,49.75,3,1151.96
171,25,71801.76,11.6,4,2080.79
172,37,54165.71,18.41,0,1082.15
173,26,31488.22,14.04,4,1465.6
174,20,22600.86,25.38,8,1370.67
175,19,73842.84,8.36,7,2086.99
176,34,56508.3,40.9,2,1201.9
177,57,172893.53,77.24,3,4377.4
178,33,58753.37,3.52,3,1145.68
179,30,57712.94,2.1,9,2166.97
180,35,42539.56,13.7,5,1393.52
181,52,73073.91,19.0,3,1419.39
182,34,65761.96,30.54,8,2079.55
183,27,92822.91,13.75,2,2477.96
184,48,35005.92,15.7,4,1258.42
185,37,36699.77,22.45,5,1025.77
186,56,35828.3,13.07,5,1399.79
187,34,72037.42,77.11,2,2043.84
188,20,106309.08,3.47,3,3478.48
189,19,36229.82,4.65,5,1336.78
190,59,36915.04,18.41,3,999.33
191,61,55422.59,8.81,7,2330.71
192,29,40734.52,40.05,4,829.2
193,27,78718.19,11.38,6,2195.32
194,55,18000.0,7.03,3,1404.79
195,21,29593.57,5.89,3,866.16
196,22,30323.28,23.29,4,553.85
197,40,18000.0,5.93,7,999.9
198,27,27446.64,14.46,4,1551.54
199,31,28188.35,27.15,4,1282.66
200,30,41747.4,30.39,4,1125.81
201,36,86002.47,12.55,5,1952.32
202,54,40750.23,3.04,1,670.39
203,33,26451.08,11.93,2,911.98
204,40,45191.98,13.95,6,2046.45
205,18,83037.33,15.62,3,2310.16
206,31,27261.28,8.01,7,1480.34
207,23,28259.47,94.55,3,1081.69
208,20,63398.91,32.45,1,1029.8
209,23,41280.9,4.06,3,1290.17
210,28,66577.14,3.86,5,1306.44
211,45,46281.35,15.15,5,1417.71
212,19,68590.89,37.23,3,1950.33
213,32,26389.12,3.91,3,436.15
214,26,46321.13,37.51,6,1416.59
215,28,41527.89,25.55,8,1786.22
216,46,23891.07,38.73,4,1336.77
217,39,19733.78,40.04,4,1467.02
218,52,67993.13,32.51,4,2120.18
219,30,38444.7,22.81,11,2098.89
220,24,26575.52,48.05,6,1237.58
221,29,44227.48,24.0,4,1041.3
222,35,86717.45,20.74,4,1977.68
223,34,18000.0,18.51,5,1156.29
224,21,20472.72,32.81,7,1502.39
225,33,28068.76,9.67,5,392.81
226,34,104156.35,96.46,8,3203.26
227,70,54470.95,37.41,7,2452.64
228,64,71112.93,5.94,5,1902.3
229,23,24907.18,29.93,3,506.86
230,28,25191.33,31.02,2,1730.63
231,18,59652.87,4.89,5,1650.27
232,25,48148.77,14.34,5,1658.73
233,36,63057.76,9.53,3,1676.38
234,50,42056.99,6.43,4,1116.59
235,24,54338.0,8.49,2,1007.12
236,25,50866.79,32.13,4,2339.14
237,18,71522.84,17.49,1,1879.74
238,30,72682.4,9.67,3,1998.5
239,21,19131.1,7.07,8,1479.11
240,26,18000.0,41.66,3,615.3
241,23,80899.26,15.56,6,2680.06
242,30,89612.38,28.59,5,2082.32
243,18,26599.76,14.23,1,794.64
244,18,18000.0,8.57,5,364.49
245,70,49240.37,32.82,4,858.21
246,19,77805.0,17.91,9,2636.22
247,21,125326.42,24.75,2,2378.32
248,63,61942.61,43.61,3,1075.86
249,70,38008.15,58.65,3,1643.22
250,20,28531.9,30.04,1,1590.93
251,27,46924.64,23.48,5,2057.07
252,36,39553.3,37.01,4,1339.47
253,61,26681.15,9.12,4,991.77
254,22,143891.61,10.55,6,3639.89
255,29,124472.82,30.83,2,3084.47
256,42,87101.27,10.5,3,1856.31
257,37,28100.21,10.37,1,705.52
258,27,74627.22,48.78,5,2364.38
259,30,66290.01,39.22,7,2451.23
260,19,59480.28,10.77,2,1324.82
261,29,92717.81,15.33,4,2181.88
262,28,66135.05,40.36,2,2196.04
263,34,70053.03,4.17,2,1935.56
264,26,66190.91,30.07,3,1914.05
265,38,56242.91,6.13,1,1770.02
266,46,18000.0,44.98,4,966.09
267,33,48824.7,16.1,2,1787.64
268,36,34340.97,5.86,5,1401.98
269,32,23065.37,2.01,6,2235.12
270,32,117594.69,2.71,4,2159.69
271,24,120686.0,10.73,6,2671.57
272,36,98476.31,35.83,3,2517.85
273,30,53657.01,2.8,2,1345.82
274,70,98011.86,31.42,2,2902.44
275,57,46940.18,51.22,6,1655.17
276,36,52132.22,11.44,5,1890.88
277,24,25555.06,31.42,1,1212.52
278,21,58008.52,2.36,4,1748.49
279,50,48204.72,4.86,5,1117.77
280,35,22777.79,8.29,4,1404.87
281,38,45335.32,14.19,1,1462.74
282,18,44629.43,29.24,4,1672.49
283,45,125324.12,40.27,4,3069.38
284,37,76253.4,12.47,4,1985.19
285,21,46924.49,17.83,9,1940.8
286,26,53467.7,90.33,2,2084.2
287,35,47777.82,19.44,2,1236.7
288,32,41705.88,13.72,6,1216.59
289,28,25710.76,39.93,3,725.24
290,30,42912.63,122.12,4,1865.12
291,29,30935.08,13.87,3,1068.61
292,33,23442.98,26.28,8,1489.62
293,55,61769.93,56.16,4,2048.41
294,18,57826.1,11.84,3,1634.94
295,29,18000.0,14.95,4,656.57
296,34,43587.4,19.12,5,1990.96
297,35,80630.78,20.85,5,2064.06
298,27,83497.59,31.44,7,2357.04
299,18,81978.33,28.41,5,2407.55
300,36,47638.77,14.01,3,649.79
301,61,29296.55,58.5,4,1129.38
302,18,25692.79,14.52,3,1244.74
303,44,56361.0,7.92,8,1345.8
304,28,57446.19,23.5,2,1821.41
305,31,94658.61,42.37,4,2990.52
306,21,85390.39,8.88,7,2244.32
307,28,43359.2,21.69,2,1265.26
308,52,23521.89,10.79,5,1445.99
309,39,39124.0,2.72,5,1111.29
310,61,52547.73,8.12,5,1860.47
311,49,41724.94,27.76,3,1054.35
312,37,33933.51,32.92,3,1020.52
313,61,53588.33,7.83,2,963.52
314,37,35341.86,23.89,5,1485.27
315,43,33009.93,14.34,5,1657.02
316,28,55342.65,22.43,3,1429.93
317,32,37380.49,2.86,6,909.34
318,24,53330.17,5.46,3,951.95
319,46,54190.57,6.77,2,1384.35
320,20,24917.21,9.53,6,1825.4
321,42,35786.19,14.05,2,1107.33
322,29,102824.33,14.54,6,2484.46
323,49,24608.72,14.27,2,1038.15
324,42,18000.0,5.07,0,278.22
325,63,18000.0,65.58,4,1123.48
326,42,47382.61,11.23,1,711.61
327,18,47429.73,19.67,4,1934.19
328,31,43709.21,45.65,1,350.44
329,20,90926.29,5.01,4,2393.51
330,26,18000.0,20.42,8,1194.8
331,56,57974.8,12.95,1,1107.07
332,40,110061.11,38.93,4,3305.36
333,24,25077.36,16.5,3,655.19
334,21,37839.41,11.52,4,969.45
335,32,30819.7,2.29,4,966.32
336,20,28512.84,61.44,3,1448.91
337,24,38970.33,4.51,2,800.64
338,35,102243.95,23.51,3,1795.86
339,49,128099.51,10.16,5,2629.02
340,40,38763.46,74.49,7,2474.91
341,18,132957.28,5.66,1,2571.88
342,35,47551.43,61.62,3,1805.97
343,32,122336.42,92.99,1,2918.02
344,37,44297.6,8.95,3,963.67
345,58,50115.31,4.46,4,1962.64
346,18,57011.65,25.38,8,2030.73
347,25,250000.0,8.73,2,4630.29
348,39,74474.13,10.63,2,2023.87
349,18,31602.91,31.76,3,884.24
350,55,79455.22,48.62,5,2136.7
351,36,38215.33,22.46,4,1299.9
352,43,35619.1,38.14,5,1477.27
353,25,76859.22,4.69,1,1619.48
354,43,47434.12,57.09,5,2564.06
355,47,54350.92,5.03,2,1353.73
356,34,46990.08,4.63,1,158.21
357,34,56112.88,8.72,1,1299.62
358,35,58907.94,18.49,8,2092.26
359,23,18000.0,6.01,2,604.32
360,30,67279.78,58.69,3,2067.33
361,30,27170.56,7.55,5,1085.66
362,36,21093.82,49.2,4,1170.27
363,46,45155.79,56.93,2,1674.31
364,21,48834.37,14.51,1,908.13
365,30,31842.96,51.44,4,1067.25
366,55,73649.12,38.63,5,3223.7
367,24,22288.0,13.49,4,691.78
368,23,37278.83,38.9,2,1217.84
369,34,33803.49,27.35,4,730.14
370,43,45450.4,9.29,7,1698.56
371,32,54359.54,83.78,5,1830.19
372,52,26786.65,23.36,3,832.49
373,44,69449.52,43.08,2,2158.95
374,43,48274.14,14.41,4,1582.22
375,39,18000.0,25.54,6,1374.47
376,70,18000.0,8.25,3,100.0
377,29,46315.15,10.07,4,1992.09
378,18,41293.81,33.55,5,1127.76
379,58,44051.69,46.75,5,2228.53
380,26,45917.87,92.2,3,2205.55
381,33,52788.99,17.39,3,1612.69
382,52,78527.75,2.65,3,1464.14
383,18,25308.42,6.03,5,1103.87
384,20,24475.2,6.2,3,652.26
385,18,25557.14,75.43,5,1585.92
386,23,54660.91,10.22,3,1303.08
387,37,92477.54,10.57,5,1580.34
388,38,36781.98,61.64,6,2177.0
389,35,18000.0,19.41,11,1651.21
390,18,18266.13,11.49,3,575.3
391,18,29490.69,2.69,6,1014.92
392,32,34311.95,4.17,3,1104.35
393,26,37249.22,7.4,8,1293.15
394,38,47630.07,7.9,8,1007.26
395,41,39282.7,15.35,4,1404.73
396,33,83044.91,21.93,1,1950.94
397,42,32150.73,8.17,3,900.1
398,34,29019.55,21.08,4,718.67
399,39,60680.74,14.34,4,1670.89
400,24,20038.22,41.15,4,596.73
401,29,57776.1,18.86,5,1371.88
402,34,49335.75,17.4,6,1415.79
403,43,42997.9,12.63,8,2044.06
404,27,111697.75,16.7,3,2338.93
405,38,33116.47,10.03,4,954.55
406,28,144808.0,8.33,4,3793.16
407,30,41192.55,21.05,8,1902.72
408,43,23101.23,10.94,2,836.5
409,18,48458.15,10.53,6,1481.81
410,19,25798.33,72.24,3,1127.45
411,18,30838.97,27.48,2,215.96
412,18,58009.86,13.17,5,2032.02
413,24,63295.54,26.39,3,1824.14
414,42,33117.19,41.59,8,1725.32
415,28,80263.71,89.07,2,2284.76
416,34,88135.38,20.38,4,2436.91
417,48,102740.94,3.28,5,1879.76
418,52,62391.07,17.77,2,1269.82
419,31,98704.5,3.89,5,1958.16
420,53,18000.0,77.2,2,1743.01
421,33,39149.83,5.44,2,1271.96
422,23,28944.84,3.57,3,106.84
423,25,49790.24,52.85,5,1312.78
424,18,34054.01,14.69,3,1006.84
425,22,42557.58,17.87,5,1284.71
426,27,131294.24,14.87,2,2231.32
427,43,42474.28,60.38,4,2338.07
428,61,58547.04,21.19,4,1762.2
429,19,41037.92,16.14,2,1245.95
430,37,48612.81,4.49,4,1106.52
431,21,46784.59,66.43,1,1703.12
432,38,59669.62,7.78,4,1439.29
433,30,88514.28,62.8,3,2295.09
434,18,115389.28,3.09,14,3854.0
435,45,55286.89,46.94,10,1877.03
436,25,64489.05,14.35,5,2377.38
437,26,24760.99,97.35,3,1569.64
438,21,44429.89,41.07,4,1996.11
439,25,78210.5,4.84,3,1397.72
440,37,75077.99,4.99,3,1395.7
441,29,52385.51,10.66,4,1056.21
442,36,75926.17,79.05,1,2157.18
443,36,61078.9,21.75,10,2385.63
444,52,90234.62,21.44,4,2062.49
445,28,54674.22,41.21,6,1598.25
446,18,38344.48,29.06,3,794.88
447,47,56089.99,28.16,1,1313.89
448,28,18000.0,44.21,6,1152.6
449,48,57560.23,20.66,2,1171.07
450,36,18000.0,31.04,1,1208.24
451,30,18071.57,12.94,6,1053.49
452,36,59782.77,18.58,2,1879.93
453,66,60635.82,23.38,6,1740.18
454,69,24604.0,13.04,2,846.38
455,32,31518.94,39.94,5,1397.45
456,33,99091.36,54.4,4,2037.5
457,47,35731.34,6.05,2,1408.42
458,23,160108.37,42.46,8,4033.1
459,36,46580.82,3.51,3,1455.99
460,31,58361.98,7.18,4,1281.16
461,35,113468.54,20.64,3,2469.51
462,23,50114.46,44.49,5,1482.36
463,18,26868.53,82.39,4,1974.13
464,18,43899.14,24.94,3,1416.24
465,21,45725.62,3.3,2,1196.29
466,26,22013.08,35.58,5,1688.42
467,28,40509.52,7.1,6,1847.13
468,66,31001.61,7.54,5,1432.43
469,48,77528.18,4.08,3,1258.5
470,22,47526.21,16.57,8,1616.29
471,36,39913.2,10.87,5,998.63
472,27,43984.82,46.99,5,1948.8
473,28,52718.26,29.82,4,1672.31
474,34,65463.49,11.66,4,1219.1
475,40,26907.44,9.98,4,933.12
476,28,26294.81,17.79,1,193.83
477,47,85611.39,8.32,3,1914.82
478,20,37168.42,3.14,2,333.22
479,32,21391.24,11.71,6,1317.93
480,70,59521.75,8.36,5,1816.4
481,34,60165.44,30.77,3,2311.51
482,54,20092.59,25.28,2,1068.0
483,33,52902.98,7.68,3,1191.83
484,39,69882.51,45.85,2,2108.05
485,31,57291.79,20.19,1,803.46
486,30,66011.87,68.29,3,1693.5
487,23,21539.68,34.73,4,1204.82
488,37,55942.08,53.1,6,1309.79
489,23,39480.38,71.92,2,1457.07
490,41,35755.72,13.35,2,606.63
491,48,75267.64,26.22,4,2026.91
492,36,105198.15,5.81,3,1889.93
493,28,125104.36,8.12,3,2791.28
494,37,96099.97,7.03,3,2119.3
495,28,43898.97,15.59,2,1617.26
496,45,56613.12,29.42,3,1572.04
497,18,71093.6,20.57,9,2154.91
498,28,49843.72,2.63,3,1160.5
499,18,50107.22,7.33,5,1036.45
500,18,73354.87,29.49,4,2123.7
